Key	Tag	Relation	Percent	EN	Th	Exclusive	Note
Error							
find_not_found_pet				Please Check the Contract Address Or Token Id and try again.	Please Check the Contract Address Or Token Id and try again.		
find_not_found_assets				Please Check the Contract Address Or Token Id and try again.	Please Check the Contract Address Or Token Id and try again.		
not_instantiate_assets				Please Check the Contract Address Or Token Id and try again.	Please Check the Contract Address Or Token Id and try again.		
feature_unavailable				This functionality is coming soon. You can send feedback to developer about this function for improvement.	This functionality is coming soon. You can send feedback to developer about this function for improvement.		
Stats							
Relationship				Relationship Level A relationship between owner and pet will affect the pet's behavior.  To increase the relationship level with your pets, you can give a heart of love by touching them with a soft-hearted touch every 30 minutes and completing exciting events with them.	ค่าความสัมพันธ์ระหว่างผู้เล่นและสัตว์ เพิ่มขึ้นจากการเข้ามากดที่ตัวสัตว์เลี้ยงทุกๆ 30 นาที  และการทำภาระกิจรายวัน ความสัมพันธ์ส่งผลต่อพฤติกรรมของ สัตว์เลี้ยงในหลายๆด้าน		
Hungry				Starvation Level Feed them a favourite food to increase the starvation and relationship level. Do not leave them with a hungriness	ค่่าความหิวของสัตว์เลี้ยง ป้อนอาหารที่สัตว์เลี้ยงชื่นชอบ  อย่าปล่อยให้สัตว์เลี้ยงหิวจนนานเกินไป จะส่งผลเสียต่อความสัมพันธ์		
Energy				Energy level Doing too much activities with your pet will affect to its energy and become fatigue. Bring them to have some rest for recovering your pet.	ค่าพลังงานของสัตว์เลี้ยง ใช้สำหรับเล่นของเล่น หากพลังงานหมด  จะไม่มีแรงมากพอ เล่นของเล่นได้ เติมเต็มด้วยการพาสัตว์เลี้ยงเข้านอน		
Cleanliness				Hygiene level Keep observing your pet. If your pet seems a bit smelly, rapidly bring them to take a bath otherwise it will be rude and fierce at you.	ค่าความสะอาดของสัตว์เลี้ยง อย่าปล่อยให้สัตว์เลี้ยงสกปกเกินไป  การทำความสะอาดอย่าสม่ำเสมอ จะทำให้เกิดความสัมพันธ์ที่ดี		
Food							
Fish				Fish	ปลา		
Meat				Meat	เนื้อ		
Milk				Milk	นม		
Corn				Corn	ข้าวโพด		
Cookie				Cookie	คุ๊กกี้		
Chocolate				Chocolate	ช็อกโกแลต		
Honey				Honey	น้ำผึ้ง		
Vegetable				Vegetable	ผัก		
Relationships							
Annoying				Annoying	น่ารำคาญ		
Amiable				Amiable	เป็นกันเอง		
Friend				Friend	เพื่อน		
SoulMate				SoulMate	โซลเมท		
Love				Love	ความรัก		
Quests							
quest_eatfood				Feed your pets when it hungry	ให้อาหาร ตอนที่สัตว์เลี้ยงกำลังหิว		
quest_eathappyfood				Feed your pets with their favorite food	ให้อาหารโปรด ตอนที่สัตว์เลี้ยงกำลังหิว		
